20230528	19:05:40	5f092d47-ecfb-47ad-b0fe-1e70eda00a74	GET	 /new-page	 undefined 
20230528	19:05:40	6a0baec9-4662-44ba-9581-7dd68676da52	GET	 /css/style.css	 undefined 
20230528	19:05:40	94e2679c-4af6-4d18-ac1d-788ef37145aa	GET	 /img/img1.jpg	 undefined 
20230528	19:07:53	abe02ee4-bb87-4df6-a3c8-1e2ca09bfe40	GET	 /	 undefined 
20230528	19:07:53	4a2217ad-20b9-4706-8372-78e84efeb62d	GET	 /css/style.css	 undefined 
20230528	19:46:48	78978b2c-15cc-4fdb-92af-b1758745aca2	OPTIONS	 /	 https://www.google.com 
20230528	19:46:48	7c3920a1-9b20-4f9f-9b58-2ef3c2cd927e	GET	 /	 https://www.google.com 
20230528	19:47:07	81fd095b-8934-4aeb-ad36-ec6644eac740	OPTIONS	 /	 https://www.google.com 
20230528	19:47:07	f3585334-e803-4099-ba70-3d8b0936b28b	GET	 /	 https://www.google.com 
20230528	19:47:56	dfcb61d0-bba4-4564-be51-4619bb4018f1	GET	 /	 undefined 
20230528	19:49:15	d3901639-a3d0-47c7-b4a2-d83230c04707	GET	 /	 undefined 
20230528	19:49:18	3eb6f8b6-f4f7-46bd-bd15-736d4fcff6af	GET	 /	 undefined 
20230528	19:49:42	a7b29f26-9183-420f-a34c-d5ec3ccf4c52	GET	 /	 undefined 
20230528	19:49:55	fec33130-5a8f-4e3c-8283-5a15a07c0265	GET	 /	 undefined 
20230528	19:50:06	4a29f7ee-b168-4aa1-ae51-3312ceeada74	GET	 /	 undefined 
20230528	19:50:21	94e1069a-1b54-4422-9a82-6752d4c433a8	GET	 /	 undefined 
20230528	19:50:23	2657935a-150b-493e-8a4f-8d6d44be71bf	GET	 /	 undefined 
20230528	19:50:23	6d61871b-e3a4-4333-a175-bdbd3de64f32	GET	 /	 undefined 
20230528	19:50:41	62c1ec16-b414-4cb2-a056-2492440207ac	GET	 /	 undefined 
20230528	19:50:42	209a402a-bffa-4a2f-91bc-f178c1583b42	GET	 /	 undefined 
